일자,Unnamed: 1,일수,시간,주제,세부 내용,강사
2022-03-11,금,81,8.0,머신러닝,"분류, 성능 측정",윤재성
2022-03-12,토,,,,멘토링,
2022-03-14,월,82,8.0,머신러닝,"SVM, 결정트리, 앙상블 모델",윤재성
2022-03-15,화,83,8.0,머신러닝,차원축소,윤재성
2022-03-16,수,84,8.0,머신러닝,비지도 학습,윤재성
2022-03-17,목,85,8.0,머신러닝,추천 시스템,윤재성
2022-03-18,금,86,8.0,딥러닝,딥러닝 개요,윤재성
2022-03-19,토,,,,멘토링,
2022-03-21,월,87,8.0,딥러닝,"퍼셉트론, 활성화 함수",윤재성
2022-03-22,화,88,8.0,딥러닝,"손실함수, 경사하강법",윤재성
2022-03-23,수,89,8.0,딥러닝,"오차역전파법, 최적화 함수",윤재성
2022-03-24,목,90,8.0,딥러닝,"가중치 초기화, 배치정규화, 드롭아웃",윤재성
2022-03-25,금,91,8.0,딥러닝,"Tensorflow, Keras Framework",윤재성
2022-03-26,토,92,8.0,Mini Project,,윤재성
2022-03-28,월,93,8.0,Mini Project,,윤재성
2022-03-29,화,94,8.0,이미지 딥러닝,합성곱 신경망(CNN) 개요,윤재성
2022-03-30,수,95,8.0,이미지 딥러닝,"대표적인 CNN 모델, 시각화",윤재성
2022-03-31,목,96,8.0,이미지 딥러닝,"VGGNet, GoogLeNet, ResNet",윤재성
2022-04-01,금,97,8.0,이미지 딥러닝,Data Augmentation,윤재성
2022-04-02,토,,,,멘토링,
2022-04-04,월,98,8.0,이미지 딥러닝,"전이 학습, 미세조정",윤재성
2022-04-05,화,99,8.0,이미지 딥러닝 응용,Object Detection 개요,윤재성
2022-04-06,수,100,8.0,이미지 딥러닝 응용,주요 데이터셋 소개,윤재성
2022-04-07,목,101,8.0,이미지 딥러닝 응용,RNN 계열 Detector,윤재성
2022-04-08,금,102,8.0,이미지 딥러닝 응용,SSD 계열 Detector,윤재성
2022-04-09,토,,,,멘토링,
2022-04-11,월,103,8.0,이미지 딥러닝 응용,Segmenation 개요,윤재성
2022-04-12,화,104,8.0,이미지 딥러닝 응용,Mask RCNN,윤재성
2022-04-13,수,105,8.0,이미지 딥러닝 응용,Style Transfer,윤재성
2022-04-14,목,106,8.0,Final Project,,윤재성
2022-04-15,금,107,8.0,Final Project,,윤재성
2022-04-16,토,,,,멘토링,
2022-04-18,월,108,8.0,Final Project,,윤재성
2022-04-19,화,109,10.0,Final Project,,윤재성
2022-04-20,수,110,10.0,Final Project,,윤재성
2022-04-21,목,111,10.0,Final Project,,윤재성
2022-04-22,금,112,10.0,Final Project,,윤재성
2022-04-23,토,113,8.0,Final Project,,윤재성
2022-04-25,월,114,10.0,Final Project,,윤재성
2022-04-26,화,115,10.0,Final Project,,윤재성
2022-04-27,수,116,10.0,Final Project,,윤재성
2022-04-28,목,117,10.0,Final Project,,윤재성
2022-04-29,금,118,8.0,Final Project,,윤재성
