STD_YY,SCHOOL_KIND_NM,FOUND_DIV_NM,SCHOOL_NM,MJR_NM,DIV_NM,MJR_CHARTR_NM,MJR_STATE_NM,ERSTD_CNT,MASTER_SUM,MASTER_NON_REGIST_CNT,MASTER_NON_GBSCHL_CNT,MASTER_LVSCHL_CNT,MASTER_CLGRD_WARN_CNT,MASTER_STDNT_ACT_CNT,MASTER_FLK_EXPL_CNT,MASTER_CLAS_TERM_EXCESS_CNT,MASTER_ETC_CNT,DR_SUM,DR_NON_REGIST_CNT,DR_NON_GBSCHL_CNT,DR_LVSCHL_CNT,DR_CLGRD_WARN_CNT,DR_STDNT_ACT_CNT,DR_FLK_EXPL_CNT,DR_CLAS_TERM_EXCESS_CNT,DR_ETC_CNT,MDR_UNITY_SUM,MDR_UNITY_NON_REGIST_CNT,MDR_UNITY_NON_GBSCHL_CNT,MDR_UNITY_LVSCHL_CNT,MDR_UNITY_CLGRD_WARN_CNT,MDR_UNITY_STDNT_ACT_CNT,MDR_UNITY_FLK_EXPL_CNT,MDR_UNITY_CLAS_TERM_EXCESS_CNT,MDR_UNITY_ETC_CNT,TOTSUM,HFWY_DROT_STDNT_RT
2013,전문대학원,사립,경희대학교 동서의학대학원 _본교,동서의학과(0009132),주간,일반과정,기존,32,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.3
2013,전문대학원,사립,경희대학교 동서의학대학원 _본교,동서의과학과_한의과학전공(0009644),주간,일반과정,기존,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2013,일반대학원,사립,단국대학교 일반대학원 _본교,의학과(0057891),주간,일반과정,폐과,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0
2013,일반대학원,사립,단국대학교 일반대학원 _본교,치의학과(0050559),주간,일반과정,폐과,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2013,전문대학원,사립,성균관대학교 의학전문대학원 _본교,의학과(0117600),주간,일반과정,기존,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2013,전문대학원,사립,아주대학교 의학전문대학원 _본교,주간,주간,일반과정,기존,85,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2
2013,특수대학원,국립,한경대학교 산업대학원 _본교,건축공학과(0002010),야간,일반과정,기존,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2013,특수대학원,국립,한경대학교 산업대학원 _본교,토목안전환경공학과(0005725),야간,일반과정,폐과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2013,특수대학원,국립,한경대학교 산업대학원 _본교,조경학과(0001204),야간,일반과정,변경,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2013,특수대학원,국립,한경대학교 산업대학원 _본교,조경학과(0005141),야간,계약학과,변경,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2013,특수대학원,국립,한경대학교 산업대학원 _본교,토목공학과(0000646),야간,일반과정,기존,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2013,특수대학원,국립,한경대학교 산업대학원 _본교,기계공학과(0000015),야간,일반과정,기존,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2013,특수대학원,국립,한경대학교 산업대학원 _본교,전기공학과(0003979),야간,일반과정,기존,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2013,특수대학원,국립,한경대학교 산업대학원 _본교,전기전자제어공학과(0005362),야간,일반과정,폐과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2013,특수대학원,국립,한경대학교 산업대학원 _본교,전자공학과(0001088),야간,일반과정,폐과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,특수대학원,사립,가톨릭대학교교육대학원 _본교,직업특수교육전공(0014688),야간,일반과정,기존,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.6
2014,특수대학원,사립,가톨릭대학교교육대학원 _본교,특수교육전공(0014402),야간,일반과정,기존,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,특수대학원,사립,가톨릭대학교교육대학원 _본교,국어교육전공(0011744),야간,일반과정,기존,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75.0
2014,특수대학원,사립,가톨릭대학교교육대학원 _본교,영어교육전공(0016693),야간,일반과정,기존,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0
2014,특수대학원,사립,가톨릭대학교교육대학원 _본교,외국인을위한한국어교육전공(0014800),야간,일반과정,기존,15,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13.3
2014,특수대학원,사립,가톨릭대학교교육대학원 _본교,중국어교육전공(0020197),야간,일반과정,폐과,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2014,특수대학원,사립,가톨릭대학교교육대학원 _본교,독서교육전공(0011826),야간,일반과정,기존,85,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.9
2014,일반대학원,사립,가톨릭대학교대학원 _본교,국어국문학과(0034837),주간,일반과정,기존,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,가톨릭대학교대학원 _본교,중어중문학과(0044706),주간,일반과정,기존,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0
2014,일반대학원,사립,가톨릭대학교대학원 _본교,영어영문학과(0038454),주간,일반과정,기존,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,가톨릭대학교대학원 _본교,독서학과(0043256),주간,일반과정,기존,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,가톨릭대학교대학원 _본교,심리학과(0056539),주간,일반과정,기존,107,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.9
2014,일반대학원,사립,가톨릭대학교대학원 _본교,국사학과(0043971),주간,일반과정,기존,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,가톨릭대학교대학원 _본교,종교학과(0037622),주간,일반과정,기존,20,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0
2014,일반대학원,사립,가톨릭대학교대학원 _본교,철학과(0034934),주간,일반과정,기존,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,가톨릭대학교대학원 _본교,경영학과(0023876),주간,일반과정,기존,43,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3
2014,일반대학원,사립,가톨릭대학교대학원 _본교,법학과(0039862),주간,일반과정,기존,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,가톨릭대학교대학원 _본교,사회복지학과(0056155),주간,일반과정,기존,57,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.5
2014,일반대학원,사립,가톨릭대학교대학원 _본교,아동학과(0041139),주간,일반과정,기존,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.1
2014,일반대학원,사립,가톨릭대학교대학원 _본교,국제학과(0051012),주간,일반과정,기존,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,가톨릭대학교대학원 _본교,사회학과(0034033),주간,일반과정,기존,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,가톨릭대학교대학원 _본교,행정학과(0026863),주간,일반과정,기존,22,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5
2014,일반대학원,사립,가톨릭대학교대학원 _본교,한국어교육학과(0041207),주간,일반과정,기존,16,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.5
2014,특수대학원,사립,가톨릭대학교문화영성대학원 _본교,문화영성학과(0018957),야간,일반과정,기존,67,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.0
2014,특수대학원,사립,가톨릭대학교사회복지대학원 _본교,노인복지학과(0019322),야간,일반과정,기존,45,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.4
2014,특수대학원,사립,가톨릭대학교사회복지대학원 _본교,사회복지학과(0014322),야간,일반과정,기존,117,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.7
2014,특수대학원,사립,가톨릭대학교사회복지대학원 _본교,의료사회복지학과(0015049),야간,일반과정,기존,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,특수대학원,사립,가톨릭대학교사회복지대학원 _본교,장애인복지학과(0014390),야간,일반과정,기존,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,특수대학원,사립,가톨릭대학교사회복지대학원 _본교,청소년복지학과(0015979),야간,일반과정,기존,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,특수대학원,사립,가톨릭대학교행정대학원 _본교,행정학과(0012392),야간,일반과정,폐과,60,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.3
2014,특수대학원,사립,강남대학교 경영대학원 _본교,경영학과(0114558),야간,일반과정,기존,11,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27.3
2014,특수대학원,사립,강남대학교 부동산ㆍ행정대학원 _본교,부동산학과(0050041),야간,일반과정,폐과,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,특수대학원,사립,강남대학교 부동산ㆍ행정대학원 _본교,행정학과(0058321),야간,일반과정,폐과,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.5
2014,특수대학원,사립,강남대학교교육대학원 _본교,청소년상담전공(0209073),야간,일반과정,기존,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,특수대학원,사립,강남대학교교육대학원 _본교,교육상담전공(0016063),야간,일반과정,기존,57,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.3
2014,특수대학원,사립,강남대학교교육대학원 _본교,교육행정전공(0010370),야간,일반과정,기존,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.3
2014,특수대학원,사립,강남대학교교육대학원 _본교,평생교육전공(0014141),야간,일반과정,기존,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,특수대학원,사립,강남대학교교육대학원 _본교,유아교육전공(0017159),야간,일반과정,기존,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,특수대학원,사립,강남대학교교육대학원 _본교,언어치료교육전공(0011099),야간,일반과정,기존,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6
2014,특수대학원,사립,강남대학교교육대학원 _본교,유아특수교육전공(0019809),야간,일반과정,기존,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,특수대학원,사립,강남대학교교육대학원 _본교,특수교육전공(0015911),야간,일반과정,기존,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.7
2014,일반대학원,사립,강남대학교대학원 _본교,국어국문학과(0016026),주간,일반과정,기존,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0
2014,일반대학원,사립,강남대학교대학원 _본교,문헌정보학과(0013254),주간,일반과정,기존,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.3
2014,일반대학원,사립,강남대학교대학원 _본교,신학과(0012222),주간,일반과정,기존,16,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.5
2014,일반대학원,사립,강남대학교대학원 _본교,신학과(0012850),주간,계약학과,기존,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,강남대학교대학원 _본교,경영학과(0019764),주간,일반과정,기존,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.7
2014,일반대학원,사립,강남대학교대학원 _본교,부동산학과(0010552),주간,일반과정,기존,24,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.3
2014,일반대학원,사립,강남대학교대학원 _본교,부동산학과(0016636),주간,계약학과,기존,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,강남대학교대학원 _본교,금융경제학과(0016967),주간,일반과정,폐과,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0
2014,일반대학원,사립,강남대학교대학원 _본교,산업경제학과(0116355),주간,일반과정,기존,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,강남대학교대학원 _본교,세무학과(0018489),주간,계약학과,기존,20,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.0
2014,일반대학원,사립,강남대학교대학원 _본교,세무학과(0019754),주간,일반과정,기존,25,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.0
2014,일반대학원,사립,강남대학교대학원 _본교,국제통상학과(0019163),주간,일반과정,기존,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.1
2014,일반대학원,사립,강남대학교대학원 _본교,실버산업학과(0013578),주간,일반과정,기존,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2014,일반대학원,사립,강남대학교대학원 _본교,교육학과(0017120),주간,일반과정,기존,30,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.7
2014,일반대학원,사립,강남대학교대학원 _본교,특수교육학과(0011182),주간,일반과정,폐과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,단국대학교 일반대학원 _본교,경제학과(0051292),주간,일반과정,기존,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,단국대학교 일반대학원 _본교,무역학과(0030186),주간,일반과정,기존,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,단국대학교 일반대학원 _본교,법학과(0029920),주간,일반과정,기존,40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5
2014,일반대학원,사립,단국대학교 일반대학원 _본교,IT법학협동과정(0207750),주간,일반과정,기존,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,단국대학교 일반대학원 _본교,도시계획및부동산학과(0028858),주간,일반과정,기존,32,3,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.5
2014,일반대학원,사립,단국대학교 일반대학원 _본교,커뮤니케이션학과(0017153),주간,일반과정,기존,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,단국대학교 일반대학원 _본교,정치외교학과(0033606),주간,일반과정,기존,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,일반대학원,사립,단국대학교 일반대학원 _본교,행정학과(0058886),주간,일반과정,기존,31,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9.7
2014,일반대학원,사립,단국대학교 일반대학원 _본교,교육학과(0055295),주간,일반과정,기존,75,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.3
2014,일반대학원,사립,단국대학교 일반대학원 _본교,특수교육학과(0031548),주간,일반과정,기존,92,6,0,4,2,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9.8
2014,일반대학원,사립,단국대학교 일반대학원 _본교,언어병리학과(0204837),주간,일반과정,기존,46,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.5
2014,특수대학원,사립,단국대학교 특수교육대학원 _본교,유아특수교육전공(0045373),야간,일반과정,기존,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4
2014,특수대학원,사립,단국대학교 특수교육대학원 _본교,중등특수교육전공(0032042),야간,일반과정,기존,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8
2014,특수대학원,사립,단국대학교 특수교육대학원 _본교,초등특수교육전공(0047180),야간,일반과정,기존,20,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.0
2014,특수대학원,사립,단국대학교 특수교육대학원 _본교,언어치료전공(0204339),야간,일반과정,기존,64,10,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15.6
2014,특수대학원,사립,단국대학교 특수교육대학원 _본교,직업재활교육전공(0017227),야간,일반과정,기존,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
