컬럼_ID,컬럼_명
SIGUN_NM,시군명
SIGUN_CD,시군코드
JURISD_AM_GUN_AM_GUN_NM,관할군구명
JURISD_EMD_NM,관할읍면동명
CNSTRCT_LOCPLC_ADDR,시공소재지위치
CNSTRCT_BIZNES_INFO,시공사정보
IMPLMTN_BIZNES_INFO,시행사정보
PRVATE_PUBL_DIV_NM,민간공공구분명
RENT_LOTOUT_DIV_NM,임대분양구분명
SCALE_ACCTO_AR,규모별면적(㎥)
TOT_LOTOUT_HSHLD_CNT,총분양가구수(개)
MT_HSHLD_CNT,당월미분양가구수(개)
LOTOUT_SUBSCRPT_DE,분양청약일자
MOVEIN_PREARNGE_DE,입주예정일자
COMPLTN_YN_DIV_NM,준공여부구분명
RM,비고
