SUM_YY,SUM_MT,SIDO_NM,SCALE_DIV_NM,LOTOUT_PC
2016,7,경기,전용면적 102㎡초과,4124
2016,8,경기,전체,3561
2016,8,경기,전용면적 60㎡이하,3788
2016,8,경기,전용면적 60㎡초과 85㎡이하,3552
2016,8,경기,전용면적 85㎡초과 102㎡이하,3303
2016,8,경기,전용면적 102㎡초과,4046
2017,10,경기,전체,3625
2017,10,경기,전용면적 60㎡이하,3829
2017,10,경기,전용면적 60㎡초과 85㎡이하,3574
2017,10,경기,전용면적 85㎡초과 102㎡이하,3769
2017,10,경기,전용면적 102㎡초과,4009
